# x[m] y[m]
31.1339 5.5592
31.2307 5.5761
31.3276 5.5930
31.4244 5.6099
31.5212 5.6268
31.6180 5.6436
31.7148 5.6605
31.8116 5.6774
31.9084 5.6943
32.0052 5.7112
32.1020 5.7280
32.1988 5.7449
32.2955 5.7617
32.3923 5.7786
32.4891 5.7955
32.5858 5.8123
32.6826 5.8292
32.7793 5.8460
32.8761 5.8629
32.9728 5.8797
33.0696 5.8965
33.1663 5.9134
33.2630 5.9302
33.3598 5.9470
33.4565 5.9638
33.5532 5.9807
33.6499 5.9975
33.7466 6.0143
33.8433 6.0311
33.9400 6.0479
34.0367 6.0647
34.1334 6.0815
34.2301 6.0983
34.3267 6.1151
34.4234 6.1319
34.5201 6.1487
34.6167 6.1655
34.7134 6.1822
34.8101 6.1990
34.9067 6.2158
35.0033 6.2326
35.1000 6.2493
35.1966 6.2661
35.2932 6.2828
35.3899 6.2996
35.4865 6.3164
35.5831 6.3331
35.6797 6.3499
35.7763 6.3666
35.8729 6.3833
35.9695 6.4001
36.0661 6.4168
36.1627 6.4335
36.2593 6.4503
36.3559 6.4670
36.4524 6.4837
36.5490 6.5004
36.6456 6.5171
36.7421 6.5339
36.8387 6.5506
36.9352 6.5673
37.0318 6.5840
37.1283 6.6007
37.2248 6.6174
37.3214 6.6341
37.4179 6.6507
37.5144 6.6674
37.6109 6.6841
37.7074 6.7008
37.8039 6.7175
37.9004 6.7341
37.9969 6.7508
38.0934 6.7675
38.1899 6.7841
38.2864 6.8008
38.3829 6.8174
38.4794 6.8341
38.5758 6.8507
38.6723 6.8674
38.7687 6.8840
38.8652 6.9007
38.9617 6.9173
39.0581 6.9339
39.1545 6.9506
39.2510 6.9672
39.3474 6.9838
39.4438 7.0004
39.5403 7.0171
39.6367 7.0337
39.7331 7.0503
39.8295 7.0669
39.9259 7.0835
40.0223 7.1001
40.1187 7.1167
40.2151 7.1333
40.3114 7.1499
40.4078 7.1665
40.5042 7.1830
40.6006 7.1996
40.6969 7.2162
40.7933 7.2328
40.8897 7.2493
40.9860 7.2659
41.0823 7.2825
41.1787 7.2990
41.2750 7.3156
41.3714 7.3322
41.4677 7.3487
41.5640 7.3653
41.6603 7.3818
41.7566 7.3983
41.8529 7.4149
41.9492 7.4314
42.0455 7.4479
42.1418 7.4645
42.2381 7.4810
42.3344 7.4975
42.4307 7.5140
42.5270 7.5306
42.6232 7.5471
42.7195 7.5636
42.8158 7.5801
42.9120 7.5966
43.0083 7.6131
43.1045 7.6296
43.2008 7.6461
43.2970 7.6626
43.3932 7.6790
43.4895 7.6955
43.5857 7.7120
43.6819 7.7285
43.7781 7.7450
43.8743 7.7614
43.9705 7.7779
44.0667 7.7944
44.1629 7.8108
44.2591 7.8273
44.3553 7.8437
44.4515 7.8602
44.5477 7.8766
44.6438 7.8931
44.7400 7.9095
44.8362 7.9259
44.9323 7.9424
45.0285 7.9588
45.1246 7.9752
45.2208 7.9917
45.3169 8.0081
45.4130 8.0245
45.5092 8.0409
45.6053 8.0573
45.7014 8.0737
45.7975 8.0901
45.8936 8.1065
45.9897 8.1229
46.0858 8.1393
46.1819 8.1557
46.2780 8.1721
46.3741 8.1885
46.4702 8.2049
46.5663 8.2213
46.6624 8.2376
46.7584 8.2540
46.8545 8.2704
46.9506 8.2867
47.0466 8.3031
47.1427 8.3195
47.2387 8.3358
47.3347 8.3522
47.4308 8.3685
47.5268 8.3849
47.6228 8.4012
47.7189 8.4176
47.8149 8.4339
47.9109 8.4502
48.0069 8.4666
48.1029 8.4829
48.1989 8.4992
48.2949 8.5155
48.3909 8.5318
48.4869 8.5482
48.5828 8.5645
48.6788 8.5808
48.7748 8.5971
48.8708 8.6134
48.9667 8.6297
49.0627 8.6460
49.1586 8.6623
49.2546 8.6785
49.3505 8.6948
49.4465 8.7111
49.5424 8.7274
49.6383 8.7437
49.7342 8.7599
49.8302 8.7762
49.9261 8.7925
50.0220 8.8087
50.1179 8.8250
50.2138 8.8412
50.3097 8.8575
50.4056 8.8737
50.5015 8.8900
50.5973 8.9062
50.6932 8.9225
50.7891 8.9387
50.8850 8.9549
50.9808 8.9712
51.0767 8.9874
51.1725 9.0036
51.2684 9.0198
51.3642 9.0361
51.4601 9.0523
51.5559 9.0685
51.6517 9.0847
51.7476 9.1009
51.8434 9.1171
51.9392 9.1333
52.0350 9.1495
52.1308 9.1657
52.2266 9.1819
52.3224 9.1980
52.4182 9.2142
52.5140 9.2304
52.6098 9.2466
52.7056 9.2627
52.8013 9.2789
52.8971 9.2951
52.9929 9.3112
53.0886 9.3274
53.1844 9.3436
53.2801 9.3597
53.3759 9.3759
53.4716 9.3920
53.5674 9.4081
53.6631 9.4243
53.7588 9.4404
53.8546 9.4565
53.9503 9.4727
54.0460 9.4888
54.1417 9.5049
54.2374 9.5210
54.3331 9.5372
54.4288 9.5533
54.5245 9.5694
54.6202 9.5855
54.7159 9.6016
54.8115 9.6177
54.9072 9.6338
55.0029 9.6499
55.0985 9.6660
55.1942 9.6821
55.2899 9.6981
55.3855 9.7142
55.4812 9.7303
55.5768 9.7464
55.6724 9.7624
55.7681 9.7785
