# x[m] y[m]
24.6965 19.6679
24.7733 19.7286
24.8501 19.7894
24.9269 19.8502
25.0037 19.9109
25.0805 19.9717
25.1573 20.0325
25.2341 20.0932
25.3108 20.1539
25.3876 20.2147
25.4644 20.2754
25.5412 20.3361
25.6179 20.3968
25.6947 20.4576
25.7715 20.5183
25.8482 20.5790
25.9250 20.6397
26.0017 20.7004
26.0785 20.7610
26.1552 20.8217
26.2319 20.8824
26.3087 20.9431
26.3854 21.0037
26.4621 21.0644
26.5389 21.1250
26.6156 21.1857
26.6923 21.2463
26.7690 21.3070
26.8457 21.3676
26.9224 21.4282
26.9991 21.4889
27.0758 21.5495
27.1525 21.6101
27.2292 21.6707
27.3059 21.7313
27.3826 21.7919
27.4592 21.8525
27.5359 21.9130
27.6126 21.9736
27.6892 22.0342
27.7659 22.0948
27.8426 22.1553
27.9192 22.2159
27.9959 22.2764
28.0725 22.3370
28.1492 22.3975
28.2258 22.4580
28.3024 22.5186
28.3791 22.5791
28.4557 22.6396
28.5323 22.7001
28.6090 22.7606
28.6856 22.8211
28.7622 22.8816
28.8388 22.9421
28.9154 23.0026
28.9920 23.0631
29.0686 23.1236
29.1452 23.1840
29.2218 23.2445
29.2984 23.3050
29.3750 23.3654
29.4515 23.4259
29.5281 23.4863
29.6047 23.5467
29.6813 23.6072
29.7578 23.6676
29.8344 23.7280
29.9109 23.7884
29.9875 23.8488
30.0641 23.9093
30.1406 23.9697
30.2171 24.0300
30.2937 24.0904
30.3702 24.1508
30.4468 24.2112
30.5233 24.2716
30.5998 24.3319
30.6763 24.3923
30.7528 24.4527
30.8294 24.5130
30.9059 24.5733
30.9824 24.6337
31.0589 24.6940
31.1354 24.7544
31.2119 24.8147
31.2884 24.8750
31.3648 24.9353
31.4413 24.9956
31.5178 25.0559
31.5943 25.1162
31.6708 25.1765
31.7472 25.2368
31.8237 25.2971
31.9001 25.3573
31.9766 25.4176
32.0531 25.4779
32.1295 25.5381
32.2060 25.5984
32.2824 25.6586
32.3588 25.7189
32.4353 25.7791
32.5117 25.8394
32.5881 25.8996
32.6646 25.9598
32.7410 26.0200
32.8174 26.0802
32.8938 26.1404
32.9702 26.2006
33.0466 26.2608
33.1230 26.3210
33.1994 26.3812
33.2758 26.4414
33.3522 26.5016
33.4286 26.5617
33.5050 26.6219
33.5814 26.6820
33.6577 26.7422
33.7341 26.8023
33.8105 26.8625
33.8868 26.9226
33.9632 26.9827
34.0396 27.0429
34.1159 27.1030
34.1923 27.1631
34.2686 27.2232
34.3449 27.2833
34.4213 27.3434
34.4976 27.4035
34.5739 27.4636
34.6503 27.5237
34.7266 27.5837
34.8029 27.6438
34.8792 27.7039
34.9555 27.7639
35.0319 27.8240
35.1082 27.8840
35.1845 27.9441
35.2608 28.0041
35.3371 28.0642
35.4133 28.1242
35.4896 28.1842
35.5659 28.2442
35.6422 28.3042
35.7185 28.3643
35.7947 28.4243
35.8710 28.4842
35.9473 28.5442
36.0235 28.6042
36.0998 28.6642
36.1760 28.7242
36.2523 28.7841
36.3285 28.8441
36.4048 28.9041
36.4810 28.9640
36.5573 29.0240
36.6335 29.0839
36.7097 29.1438
36.7859 29.2038
36.8622 29.2637
36.9384 29.3236
37.0146 29.3835
37.0908 29.4435
37.1670 29.5034
37.2432 29.5633
37.3194 29.6231
37.3956 29.6830
37.4718 29.7429
37.5480 29.8028
37.6242 29.8627
37.7003 29.9225
37.7765 29.9824
37.8527 30.0423
37.9289 30.1021
38.0050 30.1620
38.0812 30.2218
38.1573 30.2816
38.2335 30.3415
38.3096 30.4013
38.3858 30.4611
38.4619 30.5209
38.5381 30.5807
38.6142 30.6405
38.6903 30.7003
38.7665 30.7601
38.8426 30.8199
38.9187 30.8797
38.9948 30.9395
39.0709 30.9992
39.1470 31.0590
39.2232 31.1188
39.2993 31.1785
39.3754 31.2383
39.4515 31.2980
39.5275 31.3577
39.6036 31.4175
39.6797 31.4772
39.7558 31.5369
39.8319 31.5966
39.9079 31.6564
39.9840 31.7161
40.0601 31.7758
40.1361 31.8355
40.2122 31.8952
40.2882 31.9548
40.3643 32.0145
40.4403 32.0742
40.5164 32.1339
40.5924 32.1935
40.6685 32.2532
40.7445 32.3128
40.8205 32.3725
40.8966 32.4321
40.9726 32.4918
41.0486 32.5514
41.1246 32.6110
41.2006 32.6706
41.2766 32.7303
41.3526 32.7899
41.4286 32.8495
41.5046 32.9091
41.5806 32.9687
41.6566 33.0283
41.7326 33.0878
41.8086 33.1474
41.8845 33.2070
41.9605 33.2666
42.0365 33.3261
42.1124 33.3857
42.1884 33.4452
42.2644 33.5048
42.3403 33.5643
42.4163 33.6239
42.4922 33.6834
42.5682 33.7429
42.6441 33.8024
42.7200 33.8620
42.7960 33.9215
42.8719 33.9810
42.9478 34.0405
43.0238 34.1000
43.0997 34.1595
43.1756 34.2189
43.2515 34.2784
43.3274 34.3379
43.4033 34.3974
43.4792 34.4568
43.5551 34.5163
43.6310 34.5757
43.7069 34.6352
43.7828 34.6946
43.8587 34.7540
43.9345 34.8135
44.0104 34.8729
44.0863 34.9323
44.1622 34.9917
44.2380 35.0511
44.3139 35.1105
44.3897 35.1699
44.4656 35.2293
44.5414 35.2887
44.6173 35.3481
44.6931 35.4075
44.7690 35.4668
44.8448 35.5262
44.9206 35.5856
44.9965 35.6449
45.0723 35.7043
45.1481 35.7636
45.2239 35.8230
45.2997 35.8823
45.3755 35.9416
45.4513 36.0010
45.5271 36.0603
45.6029 36.1196
45.6787 36.1789
45.7545 36.2382
45.8303 36.2975
45.9061 36.3568
45.9819 36.4161
46.0576 36.4753
46.1334 36.5346
46.2092 36.5939
46.2850 36.6532
46.3607 36.7124
46.4365 36.7717
46.5122 36.8309
46.5880 36.8902
46.6637 36.9494
46.7395 37.0086
46.8152 37.0679
46.8909 37.1271
46.9667 37.1863
47.0424 37.2455
47.1181 37.3047
47.1939 37.3639
47.2696 37.4231
47.3453 37.4823
47.4210 37.5415
47.4967 37.6007
47.5724 37.6599
47.6481 37.7190
47.7238 37.7782
47.7995 37.8373
47.8752 37.8965
47.9509 37.9557
48.0265 38.0148
48.1022 38.0739
48.1779 38.1331
48.2536 38.1922
48.3292 38.2513
48.4049 38.3104
48.4806 38.3695
48.5562 38.4286
48.6319 38.4878
48.7075 38.5468
48.7832 38.6059
48.8588 38.6650
48.9344 38.7241
49.0101 38.7832
49.0857 38.8422
49.1613 38.9013
49.2370 38.9604
49.3126 39.0194
49.3882 39.0785
49.4638 39.1375
49.5394 39.1965
49.6150 39.2556
49.6906 39.3146
49.7662 39.3736
49.8418 39.4326
49.9174 39.4917
49.9930 39.5507
50.0686 39.6097
50.1442 39.6687
50.2197 39.7276
50.2953 39.7866
50.3709 39.8456
50.4464 39.9046
50.5220 39.9636
50.5976 40.0225
50.6731 40.0815
50.7487 40.1404
50.8242 40.1994
50.8998 40.2583
50.9753 40.3173
51.0508 40.3762
51.1264 40.4351
51.2019 40.4940
51.2774 40.5530
51.3529 40.6119
51.4285 40.6708
51.5040 40.7297
51.5795 40.7886
51.6550 40.8475
51.7305 40.9063
51.8060 40.9652
51.8815 41.0241
51.9570 41.0830
52.0325 41.1418
52.1080 41.2007
52.1834 41.2595
52.2589 41.3184
52.3344 41.3772
52.4099 41.4361
52.4853 41.4949
52.5608 41.5537
52.6363 41.6125
52.7117 41.6714
52.7872 41.7302
52.8626 41.7890
52.9381 41.8478
53.0135 41.9066
53.0889 41.9654
53.1644 42.0241
53.2398 42.0829
53.3152 42.1417
53.3907 42.2005
53.4661 42.2592
53.5415 42.3180
53.6169 42.3767
53.6923 42.4355
53.7677 42.4942
53.8431 42.5530
53.9185 42.6117
53.9939 42.6704
54.0693 42.7291
54.1447 42.7879
54.2201 42.8466
54.2955 42.9053
54.3709 42.9640
54.4462 43.0227
54.5216 43.0814
54.5970 43.1400
54.6723 43.1987
54.7477 43.2574
54.8230 43.3161
54.8984 43.3747
54.9737 43.4334
55.0491 43.4920
55.1244 43.5507
55.1998 43.6093
55.2751 43.6680
55.3504 43.7266
55.4258 43.7852
55.5011 43.8439
55.5764 43.9025
55.6517 43.9611
55.7270 44.0197
55.8023 44.0783
55.8776 44.1369
55.9529 44.1955
56.0282 44.2541
56.1035 44.3126
56.1788 44.3712
56.2541 44.4298
56.3294 44.4883
56.4047 44.5469
56.4800 44.6055
56.5552 44.6640
56.6305 44.7225
56.7058 44.7811
56.7810 44.8396
56.8563 44.8981
56.9315 44.9567
57.0068 45.0152
57.0820 45.0737
57.1573 45.1322
57.2325 45.1907
57.3078 45.2492
57.3830 45.3077
57.4582 45.3662
57.5335 45.4246
57.6087 45.4831
57.6839 45.5416
57.7591 45.6001
57.8343 45.6585
57.9095 45.7170
57.9847 45.7754
58.0599 45.8339
58.1351 45.8923
58.2103 45.9507
58.2855 46.0092
58.3607 46.0676
58.4359 46.1260
58.5111 46.1844
58.5863 46.2428
58.6614 46.3012
58.7366 46.3596
58.8118 46.4180
58.8869 46.4764
58.9621 46.5348
59.0372 46.5931
59.1124 46.6515
59.1875 46.7099
59.2627 46.7682
59.3378 46.8266
59.4130 46.8849
59.4881 46.9433
59.5632 47.0016
59.6384 47.0600
59.7135 47.1183
59.7886 47.1766
59.8637 47.2349
59.9388 47.2932
60.0139 47.3515
60.0890 47.4098
60.1641 47.4681
60.2392 47.5264
60.3143 47.5847
60.3894 47.6430
60.4645 47.7013
60.5396 47.7595
60.6147 47.8178
60.6897 47.8761
60.7648 47.9343
60.8399 47.9926
60.9150 48.0508
60.9900 48.1091
61.0651 48.1673
61.1401 48.2255
61.2152 48.2837
61.2902 48.3420
61.3653 48.4002
61.4403 48.4584
61.5154 48.5166
61.5904 48.5748
61.6654 48.6330
61.7404 48.6912
61.8155 48.7493
61.8905 48.8075
61.9655 48.8657
62.0405 48.9239
62.1155 48.9820
62.1905 49.0402
62.2655 49.0983
62.3405 49.1565
62.4155 49.2146
62.4905 49.2728
62.5655 49.3309
62.6405 49.3890
62.7155 49.4471
62.7904 49.5052
62.8654 49.5633
62.9404 49.6215
63.0154 49.6796
63.0903 49.7376
63.1653 49.7957
63.2402 49.8538
63.3152 49.9119
63.3901 49.9700
63.4651 50.0280
63.5400 50.0861
63.6150 50.1442
63.6899 50.2022
63.7648 50.2603
63.8397 50.3183
63.9147 50.3763
63.9896 50.4344
64.0645 50.4924
64.1394 50.5504
64.2143 50.6084
64.2892 50.6664
64.3641 50.7244
64.4390 50.7824
64.5139 50.8404
64.5888 50.8984
64.6637 50.9564
64.7386 51.0144
64.8135 51.0724
64.8883 51.1303
64.9632 51.1883
65.0381 51.2462
65.1130 51.3042
65.1878 51.3621
65.2627 51.4201
65.3375 51.4780
65.4124 51.5360
65.4872 51.5939
65.5621 51.6518
65.6369 51.7097
65.7118 51.7676
65.7866 51.8255
65.8614 51.8834
65.9363 51.9413
66.0111 51.9992
66.0859 52.0571
66.1607 52.1150
66.2355 52.1729
66.3103 52.2307
66.3852 52.2886
66.4600 52.3465
66.5348 52.4043
66.6096 52.4622
66.6843 52.5200
66.7591 52.5778
66.8339 52.6357
66.9087 52.6935
66.9835 52.7513
67.0583 52.8091
67.1330 52.8670
67.2078 52.9248
67.2826 52.9826
67.3573 53.0404
67.4321 53.0982
67.5068 53.1559
67.5816 53.2137
67.6563 53.2715
67.7311 53.3293
67.8058 53.3870
67.8805 53.4448
67.9553 53.5026
68.0300 53.5603
68.1047 53.6181
68.1794 53.6758
68.2542 53.7335
68.3289 53.7913
68.4036 53.8490
68.4783 53.9067
68.5530 53.9644
68.6277 54.0221
68.7024 54.0798
68.7771 54.1375
68.8518 54.1952
68.9265 54.2529
69.0012 54.3106
69.0758 54.3683
69.1505 54.4259
69.2252 54.4836
69.2999 54.5413
69.3745 54.5989
69.4492 54.6566
69.5238 54.7142
69.5985 54.7719
69.6731 54.8295
69.7478 54.8871
69.8224 54.9448
69.8971 55.0024
69.9717 55.0600
70.0463 55.1176
70.1210 55.1752
70.1956 55.2328
70.2702 55.2904
70.3448 55.3480
70.4195 55.4056
70.4941 55.4632
70.5687 55.5208
70.6433 55.5783
70.7179 55.6359
70.7925 55.6934
70.8671 55.7510
70.9417 55.8085
71.0163 55.8661
71.0908 55.9236
71.1654 55.9812
71.2400 56.0387
71.3146 56.0962
71.3892 56.1537
71.4637 56.2112
71.5383 56.2688
71.6128 56.3263
71.6874 56.3838
71.7619 56.4412
71.8365 56.4987
71.9110 56.5562
71.9856 56.6137
72.0601 56.6712
72.1347 56.7286
72.2092 56.7861
72.2837 56.8435
72.3582 56.9010
72.4328 56.9584
72.5073 57.0159
72.5818 57.0733
72.6563 57.1307
72.7308 57.1882
72.8053 57.2456
72.8798 57.3030
72.9543 57.3604
73.0288 57.4178
73.1033 57.4752
73.1778 57.5326
73.2523 57.5900
73.3267 57.6474
73.4012 57.7048
73.4757 57.7621
73.5502 57.8195
73.6246 57.8769
73.6991 57.9342
73.7736 57.9916
73.8480 58.0489
73.9225 58.1063
73.9969 58.1636
74.0713 58.2209
74.1458 58.2783
74.2202 58.3356
74.2947 58.3929
74.3691 58.4502
74.4435 58.5075
74.5179 58.5648
74.5924 58.6221
74.6668 58.6794
74.7412 58.7367
74.8156 58.7940
74.8900 58.8513
74.9644 58.9085
75.0388 58.9658
75.1132 59.0231
75.1876 59.0803
75.2620 59.1376
75.3364 59.1948
75.4107 59.2520
75.4851 59.3093
75.5595 59.3665
75.6339 59.4237
75.7082 59.4810
75.7826 59.5382
75.8570 59.5954
75.9313 59.6526
76.0057 59.7098
76.0800 59.7670
76.1544 59.8242
76.2287 59.8813
76.3031 59.9385
76.3774 59.9957
76.4517 60.0529
76.5260 60.1100
76.6004 60.1672
76.6747 60.2243
76.7490 60.2815
76.8233 60.3386
76.8976 60.3958
76.9719 60.4529
77.0463 60.5100
77.1206 60.5671
77.1949 60.6243
77.2691 60.6814
77.3434 60.7385
77.4177 60.7956
77.4920 60.8527
77.5663 60.9098
77.6406 60.9669
77.7148 61.0239
77.7891 61.0810
77.8634 61.1381
77.9376 61.1951
78.0119 61.2522
78.0862 61.3093
78.1604 61.3663
78.2347 61.4234
78.3089 61.4804
78.3831 61.5374
78.4574 61.5945
78.5316 61.6515
78.6058 61.7085
78.6801 61.7655
78.7543 61.8225
78.8285 61.8795
78.9027 61.9365
78.9770 61.9935
79.0512 62.0505
79.1254 62.1075
79.1996 62.1645
79.2738 62.2214
79.3480 62.2784
79.4222 62.3354
79.4964 62.3923
79.5705 62.4493
79.6447 62.5062
79.7189 62.5632
79.7931 62.6201
79.8673 62.6770
79.9414 62.7340
80.0156 62.7909
80.0897 62.8478
80.1639 62.9047
80.2381 62.9616
80.3122 63.0185
80.3864 63.0754
80.4605 63.1323
80.5346 63.1892
80.6088 63.2461
80.6829 63.3030
80.7571 63.3598
80.8312 63.4167
80.9053 63.4736
80.9794 63.5304
81.0535 63.5873
81.1277 63.6441
81.2018 63.7010
81.2759 63.7578
81.3500 63.8146
81.4241 63.8714
81.4982 63.9283
81.5723 63.9851
81.6464 64.0419
81.7204 64.0987
81.7945 64.1555
81.8686 64.2123
81.9427 64.2691
82.0168 64.3259
82.0908 64.3826
82.1649 64.4394
82.2389 64.4962
82.3130 64.5529
82.3871 64.6097
82.4611 64.6665
82.5352 64.7232
82.6092 64.7799
82.6832 64.8367
82.7573 64.8934
82.8313 64.9501
82.9053 65.0069
82.9794 65.0636
83.0534 65.1203
83.1274 65.1770
83.2014 65.2337
83.2754 65.2904
83.3495 65.3471
83.4235 65.4038
83.4975 65.4605
83.5715 65.5171
83.6455 65.5738
83.7195 65.6305
83.7934 65.6871
83.8674 65.7438
83.9414 65.8005
84.0154 65.8571
84.0894 65.9137
84.1633 65.9704
84.2373 66.0270
84.3113 66.0836
84.3852 66.1403
84.4592 66.1969
84.5331 66.2535
84.6071 66.3101
84.6810 66.3667
84.7550 66.4233
84.8289 66.4799
84.9029 66.5365
84.9768 66.5930
85.0507 66.6496
85.1247 66.7062
85.1986 66.7628
85.2725 66.8193
85.3464 66.8759
85.4203 66.9324
85.4942 66.9890
85.5682 67.0455
85.6421 67.1020
85.7160 67.1586
85.7899 67.2151
85.8637 67.2716
85.9376 67.3281
86.0115 67.3846
86.0854 67.4411
86.1593 67.4976
86.2332 67.5541
86.3070 67.6106
86.3809 67.6671
86.4548 67.7236
86.5286 67.7801
86.6025 67.8365
86.6763 67.8930
86.7502 67.9494
86.8240 68.0059
86.8979 68.0623
86.9717 68.1188
87.0456 68.1752
87.1194 68.2317
87.1932 68.2881
87.2671 68.3445
87.3409 68.4009
87.4147 68.4573
87.4885 68.5137
87.5623 68.5702
87.6361 68.6265
87.7100 68.6829
87.7838 68.7393
87.8576 68.7957
87.9314 68.8521
88.0052 68.9085
88.0789 68.9648
88.1527 69.0212
88.2265 69.0775
88.3003 69.1339
88.3741 69.1902
88.4478 69.2466
88.5216 69.3029
88.5954 69.3593
88.6691 69.4156
88.7429 69.4719
88.8167 69.5282
88.8904 69.5845
88.9642 69.6408
89.0379 69.6971
89.1116 69.7534
89.1854 69.8097
89.2591 69.8660
89.3328 69.9223
89.4066 69.9786
89.4803 70.0348
89.5540 70.0911
89.6277 70.1474
89.7015 70.2036
89.7752 70.2599
89.8489 70.3161
89.9226 70.3724
89.9963 70.4286
90.0700 70.4848
90.1437 70.5410
90.2174 70.5973
90.2910 70.6535
90.3647 70.7097
90.4384 70.7659
90.5121 70.8221
90.5858 70.8783
90.6594 70.9345
90.7331 70.9907
90.8068 71.0468
90.8804 71.1030
90.9541 71.1592
91.0277 71.2154
91.1014 71.2715
91.1750 71.3277
91.2487 71.3838
91.3223 71.4400
91.3960 71.4961
91.4696 71.5522
91.5432 71.6084
91.6168 71.6645
91.6905 71.7206
91.7641 71.7767
91.8377 71.8328
91.9113 71.8889
91.9849 71.9450
92.0585 72.0011
92.1321 72.0572
92.2057 72.1133
92.2793 72.1694
92.3529 72.2255
92.4265 72.2815
92.5001 72.3376
92.5737 72.3936
92.6472 72.4497
92.7208 72.5057
92.7944 72.5618
92.8680 72.6178
92.9415 72.6739
93.0151 72.7299
93.0886 72.7859
93.1622 72.8419
93.2357 72.8979
93.3093 72.9540
93.3828 73.0100
93.4564 73.0660
93.5299 73.1219
93.6035 73.1779
93.6770 73.2339
93.7505 73.2899
93.8240 73.3459
93.8976 73.4018
93.9711 73.4578
94.0446 73.5138
94.1181 73.5697
94.1916 73.6257
94.2651 73.6816
94.3386 73.7375
94.4121 73.7935
94.4856 73.8494
94.5591 73.9053
94.6326 73.9612
94.7061 74.0172
94.7795 74.0731
94.8530 74.1290
94.9265 74.1849
95.0000 74.2407
95.0734 74.2966
95.1469 74.3525
95.2203 74.4084
95.2938 74.4643
95.3673 74.5201
95.4407 74.5760
95.5141 74.6319
95.5876 74.6877
95.6610 74.7436
95.7345 74.7994
95.8079 74.8552
95.8813 74.9111
95.9548 74.9669
96.0282 75.0227
96.1016 75.0785
96.1750 75.1343
96.2484 75.1901
96.3218 75.2460
96.3952 75.3017
96.4686 75.3575
96.5420 75.4133
96.6154 75.4691
96.6888 75.5249
96.7622 75.5807
96.8356 75.6364
96.9090 75.6922
96.9824 75.7479
97.0557 75.8037
97.1291 75.8594
97.2025 75.9152
97.2758 75.9709
97.3492 76.0266
97.4226 76.0824
97.4959 76.1381
97.5693 76.1938
97.6426 76.2495
97.7159 76.3052
97.7893 76.3609
97.8626 76.4166
97.9360 76.4723
98.0093 76.5280
98.0826 76.5837
98.1559 76.6394
98.2293 76.6950
98.3026 76.7507
98.3759 76.8064
98.4492 76.8620
98.5225 76.9177
98.5958 76.9733
98.6691 77.0290
98.7424 77.0846
98.8157 77.1402
98.8890 77.1958
98.9623 77.2515
99.0356 77.3071
99.1089 77.3627
99.1821 77.4183
99.2554 77.4739
99.3287 77.5295
99.4019 77.5851
99.4752 77.6407
99.5485 77.6963
99.6217 77.7518
99.6950 77.8074
99.7682 77.8630
99.8415 77.9185
99.9147 77.9741
99.9880 78.0296
100.0612 78.0852
100.1344 78.1407
100.2077 78.1963
100.2809 78.2518
100.3541 78.3073
100.4273 78.3628
100.5005 78.4184
100.5737 78.4739
100.6470 78.5294
100.7202 78.5849
100.7934 78.6404
100.8666 78.6959
100.9398 78.7513
101.0130 78.8068
101.0861 78.8623
101.1593 78.9178
101.2325 78.9732
101.3057 79.0287
101.3789 79.0842
101.4520 79.1396
101.5252 79.1951
101.5984 79.2505
101.6715 79.3059
101.7447 79.3614
101.8179 79.4168
101.8910 79.4722
101.9642 79.5276
102.0373 79.5830
102.1104 79.6384
102.1836 79.6938
102.2567 79.7492
102.3299 79.8046
102.4030 79.8600
102.4761 79.9154
102.5492 79.9708
102.6223 80.0261
102.6955 80.0815
102.7686 80.1369
102.8417 80.1922
102.9148 80.2476
102.9879 80.3029
103.0610 80.3583
103.1341 80.4136
103.2072 80.4689
103.2803 80.5243
103.3534 80.5796
103.4264 80.6349
103.4995 80.6902
103.5726 80.7455
103.6457 80.8008
103.7187 80.8561
103.7918 80.9114
103.8649 80.9667
103.9379 81.0220
104.0110 81.0772
104.0840 81.1325
104.1571 81.1878
104.2301 81.2430
104.3032 81.2983
104.3762 81.3536
104.4492 81.4088
104.5223 81.4640
104.5953 81.5193
104.6683 81.5745
104.7413 81.6297
104.8144 81.6850
104.8874 81.7402
104.9604 81.7954
105.0334 81.8506
105.1064 81.9058
105.1794 81.9610
105.2524 82.0162
105.3254 82.0714
