# x[m] y[m]
9.9293 29.9269
9.9601 30.0195
9.9910 30.1122
10.0219 30.2049
10.0528 30.2976
10.0837 30.3902
10.1145 30.4829
10.1454 30.5755
10.1763 30.6682
10.2071 30.7608
10.2380 30.8534
10.2689 30.9460
10.2997 31.0386
10.3306 31.1312
10.3615 31.2238
10.3923 31.3164
10.4232 31.4090
10.4540 31.5016
10.4849 31.5941
10.5158 31.6867
10.5466 31.7793
10.5775 31.8718
10.6083 31.9643
10.6392 32.0569
10.6700 32.1494
10.7009 32.2419
10.7317 32.3344
10.7625 32.4269
10.7934 32.5194
10.8242 32.6119
10.8551 32.7044
10.8859 32.7969
10.9167 32.8894
10.9476 32.9818
10.9784 33.0743
11.0092 33.1667
11.0401 33.2592
11.0709 33.3516
11.1017 33.4440
11.1325 33.5365
11.1634 33.6289
11.1942 33.7213
11.2250 33.8137
11.2558 33.9061
11.2866 33.9985
11.3174 34.0908
11.3483 34.1832
11.3791 34.2756
11.4099 34.3679
11.4407 34.4603
11.4715 34.5526
11.5023 34.6450
11.5331 34.7373
11.5639 34.8296
11.5947 34.9219
11.6255 35.0143
11.6563 35.1066
11.6871 35.1989
11.7179 35.2911
11.7487 35.3834
11.7795 35.4757
11.8103 35.5680
11.8411 35.6602
11.8719 35.7525
11.9027 35.8447
11.9334 35.9370
11.9642 36.0292
11.9950 36.1214
12.0258 36.2137
12.0566 36.3059
12.0873 36.3981
12.1181 36.4903
12.1489 36.5825
12.1797 36.6746
12.2104 36.7668
12.2412 36.8590
12.2720 36.9512
12.3028 37.0433
12.3335 37.1355
12.3643 37.2276
12.3950 37.3198
12.4258 37.4119
12.4566 37.5040
12.4873 37.5961
12.5181 37.6882
12.5488 37.7803
12.5796 37.8724
12.6103 37.9645
12.6411 38.0566
12.6718 38.1487
12.7026 38.2407
12.7333 38.3328
12.7641 38.4249
12.7948 38.5169
12.8256 38.6089
12.8563 38.7010
12.8871 38.7930
12.9178 38.8850
12.9485 38.9770
12.9793 39.0690
13.0100 39.1610
13.0407 39.2530
13.0715 39.3450
13.1022 39.4370
13.1329 39.5290
13.1636 39.6209
13.1944 39.7129
13.2251 39.8048
13.2558 39.8968
13.2865 39.9887
13.3172 40.0806
13.3480 40.1726
13.3787 40.2645
13.4094 40.3564
13.4401 40.4483
13.4708 40.5402
13.5015 40.6321
13.5322 40.7240
13.5629 40.8158
13.5936 40.9077
13.6243 40.9996
13.6550 41.0914
13.6857 41.1833
13.7164 41.2751
13.7471 41.3669
13.7778 41.4588
13.8085 41.5506
13.8392 41.6424
13.8699 41.7342
13.9006 41.8260
13.9313 41.9178
13.9620 42.0096
13.9927 42.1013
14.0234 42.1931
14.0540 42.2849
14.0847 42.3766
14.1154 42.4684
14.1461 42.5601
14.1768 42.6519
14.2074 42.7436
14.2381 42.8353
14.2688 42.9270
14.2994 43.0187
14.3301 43.1104
14.3608 43.2021
14.3915 43.2938
14.4221 43.3855
14.4528 43.4772
14.4834 43.5688
14.5141 43.6605
14.5448 43.7522
14.5754 43.8438
14.6061 43.9354
14.6367 44.0271
14.6674 44.1187
14.6980 44.2103
14.7287 44.3019
14.7593 44.3935
14.7900 44.4851
14.8206 44.5767
14.8513 44.6683
14.8819 44.7599
14.9126 44.8515
14.9432 44.9430
14.9738 45.0346
15.0045 45.1261
15.0351 45.2177
15.0657 45.3092
15.0964 45.4007
15.1270 45.4923
15.1576 45.5838
15.1883 45.6753
15.2189 45.7668
15.2495 45.8583
15.2801 45.9498
15.3108 46.0413
15.3414 46.1327
15.3720 46.2242
15.4026 46.3157
15.4332 46.4071
15.4638 46.4986
15.4945 46.5900
15.5251 46.6814
15.5557 46.7729
15.5863 46.8643
15.6169 46.9557
15.6475 47.0471
15.6781 47.1385
15.7087 47.2299
15.7393 47.3213
15.7699 47.4127
15.8005 47.5040
15.8311 47.5954
15.8617 47.6868
15.8923 47.7781
15.9229 47.8695
15.9535 47.9608
15.9841 48.0521
16.0147 48.1434
16.0452 48.2348
16.0758 48.3261
16.1064 48.4174
16.1370 48.5087
16.1676 48.6000
16.1981 48.6913
16.2287 48.7825
16.2593 48.8738
16.2899 48.9651
16.3205 49.0563
16.3510 49.1476
16.3816 49.2388
16.4122 49.3300
16.4427 49.4213
16.4733 49.5125
16.5039 49.6037
16.5344 49.6949
16.5650 49.7861
16.5955 49.8773
16.6261 49.9685
16.6567 50.0597
16.6872 50.1508
16.7178 50.2420
16.7483 50.3332
16.7789 50.4243
16.8094 50.5155
16.8400 50.6066
16.8705 50.6977
16.9011 50.7889
16.9316 50.8800
16.9622 50.9711
16.9927 51.0622
17.0232 51.1533
17.0538 51.2444
17.0843 51.3355
17.1148 51.4266
17.1454 51.5176
17.1759 51.6087
17.2064 51.6997
17.2370 51.7908
17.2675 51.8818
17.2980 51.9729
17.3285 52.0639
17.3591 52.1549
17.3896 52.2460
17.4201 52.3370
17.4506 52.4280
17.4811 52.5190
17.5117 52.6099
17.5422 52.7009
17.5727 52.7919
17.6032 52.8829
17.6337 52.9738
17.6642 53.0648
17.6947 53.1557
17.7252 53.2467
17.7557 53.3376
17.7862 53.4285
17.8167 53.5195
17.8472 53.6104
17.8777 53.7013
17.9082 53.7922
17.9387 53.8831
17.9692 53.9740
17.9997 54.0648
18.0302 54.1557
18.0607 54.2466
18.0912 54.3374
18.1217 54.4283
18.1522 54.5191
18.1826 54.6100
18.2131 54.7008
18.2436 54.7916
18.2741 54.8825
18.3046 54.9733
18.3350 55.0641
18.3655 55.1549
18.3960 55.2457
18.4265 55.3365
18.4569 55.4272
18.4874 55.5180
18.5179 55.6088
18.5483 55.6995
18.5788 55.7903
18.6093 55.8810
18.6397 55.9718
18.6702 56.0625
18.7007 56.1532
18.7311 56.2439
18.7616 56.3346
18.7920 56.4253
18.8225 56.5160
18.8529 56.6067
18.8834 56.6974
18.9138 56.7881
18.9443 56.8788
18.9747 56.9694
19.0052 57.0601
19.0356 57.1507
19.0660 57.2414
19.0965 57.3320
19.1269 57.4226
19.1574 57.5133
19.1878 57.6039
19.2182 57.6945
19.2487 57.7851
19.2791 57.8757
19.3095 57.9663
19.3400 58.0568
19.3704 58.1474
19.4008 58.2380
19.4312 58.3285
19.4617 58.4191
19.4921 58.5096
19.5225 58.6002
19.5529 58.6907
19.5833 58.7812
19.6137 58.8718
19.6442 58.9623
19.6746 59.0528
19.7050 59.1433
19.7354 59.2338
19.7658 59.3243
19.7962 59.4147
19.8266 59.5052
19.8570 59.5957
19.8874 59.6861
19.9178 59.7766
19.9482 59.8670
