0	1	0
0.01	0.99995	-0.01
0.02	0.9998	-0.019999
0.03	0.99955	-0.029996
0.04	0.9992	-0.03999
0.05	0.99875	-0.04998
0.06	0.9982	-0.059965
0.07	0.997551	-0.069944
0.08	0.996802	-0.079916
0.09	0.995953	-0.08988
0.1	0.995004	-0.0998351
0.11	0.993956	-0.10978
0.12	0.992808	-0.119714
0.13	0.991562	-0.129636
0.14	0.990216	-0.139545
0.15	0.988771	-0.149441
0.16	0.987227	-0.159321
0.17	0.985584	-0.169185
0.18	0.983843	-0.179033
0.19	0.982004	-0.188862
0.2	0.980066	-0.198673
0.21	0.97803	-0.208463
0.22	0.975897	-0.218233
0.23	0.973666	-0.227981
0.24	0.971337	-0.237707
0.25	0.968911	-0.247408
0.26	0.966389	-0.257085
0.27	0.96377	-0.266736
0.28	0.961054	-0.27636
0.29	0.958243	-0.285957
0.3	0.955335	-0.295525
0.31	0.952332	-0.305064
0.32	0.949234	-0.314572
0.33	0.946041	-0.324048
0.34	0.942753	-0.333492
0.35	0.939371	-0.342903
0.36	0.935895	-0.35228
0.37	0.932325	-0.361621
0.38	0.928662	-0.370926
0.39	0.924907	-0.380194
0.4	0.921058	-0.389425
0.41	0.917118	-0.398616
0.42	0.913086	-0.407767
0.43	0.908963	-0.416877
0.44	0.904749	-0.425946
0.45	0.900444	-0.434972
0.46	0.896049	-0.443955
0.47	0.891565	-0.452893
0.48	0.886991	-0.461786
0.49	0.882329	-0.470633
0.5	0.877579	-0.479433
0.51	0.87274	-0.488185
0.52	0.867815	-0.496888
0.53	0.862803	-0.505541
0.54	0.857704	-0.514144
0.55	0.85252	-0.522695
0.56	0.84725	-0.531194
0.57	0.841896	-0.53964
0.58	0.836457	-0.548032
0.59	0.830935	-0.556369
0.6	0.82533	-0.564651
0.61	0.819642	-0.572876
0.62	0.813873	-0.581044
0.63	0.808021	-0.589153
0.64	0.802089	-0.597204
0.65	0.796077	-0.605195
0.66	0.789986	-0.613126
0.67	0.783815	-0.620995
0.68	0.777566	-0.628802
0.69	0.771239	-0.636546
0.7	0.764835	-0.644227
0.71	0.758354	-0.651843
0.72	0.751798	-0.659394
0.73	0.745166	-0.666879
0.74	0.73846	-0.674297
0.75	0.73168	-0.681648
0.76	0.724827	-0.688931
0.77	0.717902	-0.696145
0.78	0.710904	-0.703289
0.79	0.703836	-0.710363
0.8	0.696697	-0.717365
0.81	0.689489	-0.724297
0.82	0.682211	-0.731155
0.83	0.674866	-0.737941
0.84	0.667452	-0.744653
0.85	0.659973	-0.75129
0.86	0.652427	-0.757852
0.87	0.644816	-0.764338
0.88	0.63714	-0.770748
0.89	0.629401	-0.777081
0.9	0.621598	-0.783336
0.91	0.613734	-0.789513
0.92	0.605808	-0.795611
0.93	0.597822	-0.801629
0.94	0.589775	-0.807567
0.95	0.58167	-0.813425
0.96	0.573507	-0.819201
0.97	0.565286	-0.824895
0.98	0.557009	-0.830507
0.99	0.548676	-0.836035
1	0.540288	-0.84148
1.01	0.531847	-0.846841
1.02	0.523352	-0.852117
1.03	0.514804	-0.857308
1.04	0.506205	-0.862413
1.05	0.497556	-0.867432
1.06	0.488857	-0.872364
1.07	0.480109	-0.877209
1.08	0.471313	-0.881966
1.09	0.462469	-0.886635
1.1	0.45358	-0.891216
1.11	0.444645	-0.895707
1.12	0.435666	-0.900109
1.13	0.426643	-0.90442
1.14	0.417577	-0.908642
1.15	0.40847	-0.912772
1.16	0.399322	-0.916811
1.17	0.390134	-0.920758
1.18	0.380907	-0.924614
1.19	0.371642	-0.928376
1.2	0.362339	-0.932046
1.21	0.353001	-0.935623
1.22	0.343627	-0.939106
1.23	0.334218	-0.942496
1.24	0.324777	-0.945791
1.25	0.315303	-0.948991
1.26	0.305797	-0.952097
1.27	0.296261	-0.955107
1.28	0.286695	-0.958022
1.29	0.2771	-0.960841
1.3	0.267478	-0.963564
1.31	0.257829	-0.966191
1.32	0.248154	-0.968721
1.33	0.238455	-0.971154
1.34	0.228731	-0.97349
1.35	0.218985	-0.975728
1.36	0.209217	-0.97787
1.37	0.199427	-0.979913
1.38	0.189618	-0.981858
1.39	0.17979	-0.983705
1.4	0.169944	-0.985454
1.41	0.160081	-0.987104
1.42	0.150202	-0.988655
1.43	0.140308	-0.990108
1.44	0.1304	-0.991462
1.45	0.120479	-0.992716
1.46	0.110546	-0.993871
1.47	0.100601	-0.994927
1.48	0.0906471	-0.995883
1.49	0.0806837	-0.99674
1.5	0.0707123	-0.997497
1.51	0.0607338	-0.998154
1.52	0.0507492	-0.998712
1.53	0.0407595	-0.999169
1.54	0.0307658	-0.999527
1.55	0.020769	-0.999784
1.56	0.0107701	-0.999942
1.57	0.000770161	-1
1.58	-0.00922988	-0.999958
1.59	-0.019229	-0.999815
1.6	-0.0292262	-0.999573
1.61	-0.0392205	-0.999231
1.62	-0.0492108	-0.998789
1.63	-0.0591962	-0.998247
1.64	-0.0691757	-0.997605
1.65	-0.0791483	-0.996863
1.66	-0.089113	-0.996022
1.67	-0.0990688	-0.995081
1.68	-0.109015	-0.99404
1.69	-0.11895	-0.992901
1.7	-0.128873	-0.991661
1.71	-0.138783	-0.990323
1.72	-0.148679	-0.988886
1.73	-0.158561	-0.987349
1.74	-0.168426	-0.985715
1.75	-0.178275	-0.983981
1.76	-0.188106	-0.982149
1.77	-0.197918	-0.980219
1.78	-0.20771	-0.978191
1.79	-0.217482	-0.976065
1.8	-0.227231	-0.973841
1.81	-0.236958	-0.97152
1.82	-0.246662	-0.969102
1.83	-0.25634	-0.966587
1.84	-0.265993	-0.963975
1.85	-0.27562	-0.961267
1.86	-0.285219	-0.958463
1.87	-0.294789	-0.955563
1.88	-0.30433	-0.952567
1.89	-0.313841	-0.949476
1.9	-0.32332	-0.94629
1.91	-0.332766	-0.94301
