0	1.40233
0.05	1.39832
0.1	1.39236
0.15	1.38317
0.2	1.36831
0.25	1.34279
0.3	1.29569
0.35	1.20116
0.4	0.997156
0.45	0.571191
0.5	-0.0705521
0.55	-0.612789
0.6	-0.91713
0.65	-1.07294
0.7	-1.1563
0.75	-1.20343
0.8	-1.2307
0.85	-1.24582
0.9	-1.25252
0.95	-1.25249
1	-1.24618
1.05	-1.23309
1.1	-1.21171
1.15	-1.17923
1.2	-1.13087
1.25	-1.05894
1.3	-0.951457
1.35	-0.791733
1.4	-0.562694
1.45	-0.262242
1.5	0.0764118
1.55	0.393432
1.6	0.64541
1.65	0.825749
1.7	0.948539
1.75	1.0306
1.8	1.08481
1.85	1.11964
1.9	1.1403
1.95	1.14972
2	1.14925
2.05	1.13895
2.1	1.11767
2.15	1.08283
2.2	1.03004
2.25	0.952471
2.3	0.840508
2.35	0.682631
2.4	0.470098
2.45	0.207063
2.5	-0.080491
2.55	-0.352673
2.6	-0.578859
2.65	-0.750184
2.7	-0.873103
2.75	-0.958708
2.8	-1.01694
2.85	-1.05506
2.9	-1.07784
2.95	-1.08809
3	-1.08713
3.05	-1.07503
3.1	-1.05065
3.15	-1.01153
3.2	-0.953605
3.25	-0.871027
3.3	-0.756263
3.35	-0.601584
3.4	-0.4031
3.45	-0.16724
3.5	0.0853541
3.55	0.326054
3.6	0.532044
3.65	0.694429
3.7	0.815639
3.75	0.902939
3.8	0.963895
3.85	1.00456
3.9	1.02917
3.95	1.04032
4	1.03925
4.05	1.02599
4.1	0.999436
4.15	0.957218
4.2	0.895628
4.25	0.809594
4.3	0.693194
4.35	0.541411
4.4	0.35378
4.45	0.138997
4.5	-0.0837466
4.55	-0.290971
4.6	-0.465065
4.65	-0.599367
4.7	-0.695799
4.75	-0.75998
4.8	-0.797794
4.85	-0.81396
4.9	-0.811772
4.95	-0.793315
5	-0.759812
