0.000000 0.000000 0.099900 19.940000
0.010000 0.000999 0.199600 19.940000
0.020000 0.003992 0.398700 19.880000
0.030000 0.008973 0.597200 19.820000
0.040000 0.015936 0.795100 19.760000
0.050000 0.024875 0.992400 19.700000
0.060000 0.035784 1.189100 19.640000
0.070000 0.048657 1.385200 19.580000
0.080000 0.063488 1.580700 19.520000
0.090000 0.080271 1.775600 19.460000
0.100000 0.099000 1.969900 19.400000
0.110000 0.119669 2.163600 19.340000
0.120000 0.142272 2.356700 19.280000
0.130000 0.166803 2.549200 19.220000
0.140000 0.193256 2.741100 19.160000
0.150000 0.221625 2.932400 19.100000
0.160000 0.251904 3.123100 19.040000
0.170000 0.284087 3.313200 18.980000
0.180000 0.318168 3.502700 18.920000
0.190000 0.354141 3.691600 18.860000
0.200000 0.392000 3.879900 18.800000
0.210000 0.431739 4.067600 18.740000
0.220000 0.473352 4.254700 18.680000
0.230000 0.516833 4.441200 18.620000
0.240000 0.562176 4.627100 18.560000
0.250000 0.609375 4.812400 18.500000
0.260000 0.658424 4.997100 18.440000
0.270000 0.709317 5.181200 18.380000
0.280000 0.762048 5.364700 18.320000
0.290000 0.816611 5.547600 18.260000
0.300000 0.873000 5.729900 18.200000
0.310000 0.931209 5.911600 18.140000
0.320000 0.991232 6.092700 18.080000
0.330000 1.053063 6.273200 18.020000
0.340000 1.116696 6.453100 17.960000
0.350000 1.182125 6.632400 17.900000
0.360000 1.249344 6.811100 17.840000
0.370000 1.318347 6.989200 17.780000
0.380000 1.389128 7.166700 17.720000
0.390000 1.461681 7.343600 17.660000
0.400000 1.536000 7.519900 17.600000
0.410000 1.612079 7.695600 17.540000
0.420000 1.689912 7.870700 17.480000
0.430000 1.769493 8.045200 17.420000
0.440000 1.850816 8.219100 17.360000
0.450000 1.933875 8.392400 17.300000
0.460000 2.018664 8.565100 17.240000
0.470000 2.105177 8.737200 17.180000
0.480000 2.193408 8.908700 17.120000
0.490000 2.283351 9.079600 17.060000
0.500000 2.375000 9.249900 17.000000
0.510000 2.468349 9.419600 16.940000
0.520000 2.563392 9.588700 16.880000
0.530000 2.660123 9.757200 16.820000
0.540000 2.758536 9.925100 16.760000
0.550000 2.858625 10.092400 16.700000
0.560000 2.960384 10.259100 16.640000
0.570000 3.063807 10.425200 16.580000
0.580000 3.168888 10.590700 16.520000
0.590000 3.275621 10.755600 16.460000
0.600000 3.384000 10.919900 16.400000
0.610000 3.494019 11.083600 16.340000
0.620000 3.605672 11.246700 16.280000
0.630000 3.718953 11.409200 16.220000
0.640000 3.833856 11.571100 16.160000
0.650000 3.950375 11.732400 16.100000
0.660000 4.068504 11.893100 16.040000
0.670000 4.188237 12.053200 15.980000
0.680000 4.309568 12.212700 15.920000
0.690000 4.432491 12.371600 15.860000
0.700000 4.557000 12.529900 15.800000
0.710000 4.683089 12.687600 15.740000
0.720000 4.810752 12.844700 15.680000
0.730000 4.939983 13.001200 15.620000
0.740000 5.070776 13.157100 15.560000
0.750000 5.203125 13.312400 15.500000
0.760000 5.337024 13.467100 15.440000
0.770000 5.472467 13.621200 15.380000
0.780000 5.609448 13.774700 15.320000
0.790000 5.747961 13.927600 15.260000
0.800000 5.888000 14.079900 15.200000
0.810000 6.029559 14.231600 15.140000
0.820000 6.172632 14.382700 15.080000
0.830000 6.317213 14.533200 15.020000
0.840000 6.463296 14.683100 14.960000
0.850000 6.610875 14.832400 14.900000
0.860000 6.759944 14.981100 14.840000
0.870000 6.910497 15.129200 14.780000
0.880000 7.062528 15.276700 14.720000
0.890000 7.216031 15.423600 14.660000
0.900000 7.371000 15.569900 14.600000
0.910000 7.527429 15.715600 14.540000
0.920000 7.685312 15.860700 14.480000
0.930000 7.844643 16.005200 14.420000
0.940000 8.005416 16.149100 14.360000
0.950000 8.167625 16.292400 14.300000
0.960000 8.331264 16.435100 14.240000
0.970000 8.496327 16.577200 14.180000
0.980000 8.662808 16.718700 14.120000
0.990000 8.830701 16.859600 14.060000
1.000000 9.000000 16.999900 14.000000
1.010000 9.170699 17.139600 13.940000
1.020000 9.342792 17.278700 13.880000
1.030000 9.516273 17.417200 13.820000
1.040000 9.691136 17.555100 13.760000
1.050000 9.867375 17.692400 13.700000
1.060000 10.044984 17.829100 13.640000
1.070000 10.223957 17.965200 13.580000
1.080000 10.404288 18.100700 13.520000
1.090000 10.585971 18.235600 13.460000
1.100000 10.769000 18.369900 13.400000
1.110000 10.953369 18.503600 13.340000
1.120000 11.139072 18.636700 13.280000
1.130000 11.326103 18.769200 13.220000
1.140000 11.514456 18.901100 13.160000
1.150000 11.704125 19.032400 13.100000
1.160000 11.895104 19.163100 13.040000
1.170000 12.087387 19.293200 12.980000
1.180000 12.280968 19.422700 12.920000
1.190000 12.475841 19.551600 12.860000
1.200000 12.672000 19.679900 12.800000
1.210000 12.869439 19.807600 12.740000
1.220000 13.068152 19.934700 12.680000
1.230000 13.268133 20.061200 12.620000
1.240000 13.469376 20.187100 12.560000
1.250000 13.671875 20.312400 12.500000
1.260000 13.875624 20.437100 12.440000
1.270000 14.080617 20.561200 12.380000
1.280000 14.286848 20.684700 12.320000
1.290000 14.494311 20.807600 12.260000
1.300000 14.703000 20.929900 12.200000
1.310000 14.912909 21.051600 12.140000
1.320000 15.124032 21.172700 12.080000
1.330000 15.336363 21.293200 12.020000
1.340000 15.549896 21.413100 11.960000
1.350000 15.764625 21.532400 11.900000
1.360000 15.980544 21.651100 11.840000
1.370000 16.197647 21.769200 11.780000
1.380000 16.415928 21.886700 11.720000
1.390000 16.635381 22.003600 11.660000
